WIID,Description,Type,Status,Date
106687928,Research Client Check Copy,WI2,Open,2020-07-08
106687976,Verify Account Position,WI1,Open,2018-03-02
106687956,Research Client Check Copy,WI2,Open,2021-09-13
106687965,Verify Account Position,WI1,Open,2018-06-10
106687942,Research Client Check Copy,WI2,Open,2021-01-25
106687997,Verify Account Position,WI1,Open,2017-07-29
106687955,Research Client Check Copy,WI2,Open,2023-09-06
106687988,Verify Account Position,WI1,Open,2017-07-19
106687918,Research Client Check Copy,WI2,Open,2017-12-02
106687899,Generate Yearly Report for Vendor,WI4,Open,2017-12-21
106687995,Verify Account Position,WI1,Open,2021-05-07
106687915,Research Client Check Copy,WI2,Open,2021-01-28
106687987,Verify Account Position,WI1,Open,2025-05-10
106687996,Verify Account Position,WI1,Open,2025-07-04
106687893,Generate Yearly Report for Vendor,WI4,Open,2019-04-22
106687908,Process Vendor Invoice,WI3,Open,2025-05-03
106687979,Verify Account Position,WI1,Open,2025-01-24
106687960,Research Client Check Copy,WI2,Open,2017-06-09
106687884,Calculate Client Security Hash,WI5,Open,2019-07-30
106687892,Generate Yearly Report for Vendor,WI4,Open,2019-03-05
106687992,Verify Account Position,WI1,Open,2022-02-06
106687989,Verify Account Position,WI1,Open,2020-01-11
106687882,Calculate Client Security Hash,WI5,Open,2023-12-17
106687983,Verify Account Position,WI1,Open,2022-09-07
106687906,Process Vendor Invoice,WI3,Open,2018-10-29
106687935,Research Client Check Copy,WI2,Open,2018-10-05
106687994,Verify Account Position,WI1,Open,2021-01-14
106687947,Research Client Check Copy,WI2,Open,2021-12-07
106687982,Verify Account Position,WI1,Open,2020-10-13
106687993,Verify Account Position,WI1,Open,2019-06-02
106687950,Research Client Check Copy,WI2,Open,2018-10-28
106687939,Research Client Check Copy,WI2,Open,2023-03-13
106687973,Verify Account Position,WI1,Open,2017-01-17
106687880,Calculate Client Security Hash,WI5,Open,2017-06-07
106687986,Verify Account Position,WI1,Open,2019-04-02
106687964,Verify Account Position,WI1,Open,2024-07-12
106687946,Research Client Check Copy,WI2,Open,2017-04-29
